"","seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr2L",23340,23340,1,"*","SRR21146074_vs_SRR21146077_peak_1",3.61608,"Promoter (1-2kb)",1,21952,24237,2286,1,"FBgn0263584","FBtr0309810",1388
"2","chr2L",23577,23577,1,"*","SRR21146074_vs_SRR21146077_peak_2",2.96555,"Promoter (1-2kb)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",1578
"3","chr2L",23751,23751,1,"*","SRR21146074_vs_SRR21146077_peak_3",2.89838,"Promoter (1-2kb)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",1404
"4","chr2L",68122,68122,1,"*","SRR21146074_vs_SRR21146077_peak_4",4.77344,"Promoter (1-2kb)",1,67043,71390,4348,1,"FBgn0067779","FBtr0306537",1079
"5","chr2L",68184,68184,1,"*","SRR21146074_vs_SRR21146077_peak_5",2.79107,"Promoter (1-2kb)",1,67043,71390,4348,1,"FBgn0067779","FBtr0306537",1141
"6","chr2L",87143,87143,1,"*","SRR21146074_vs_SRR21146077_peak_6",2.01553,"Promoter (<=1kb)",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",244
"7","chr2L",105866,105866,1,"*","SRR21146074_vs_SRR21146077_peak_7",4.77344,"Promoter (<=1kb)",1,103962,106732,2771,2,"FBgn0026787","FBtr0301452",866
"8","chr2L",133351,133351,1,"*","SRR21146074_vs_SRR21146077_peak_8",3.44332,"Promoter (1-2kb)",1,132077,134472,2396,1,"FBgn0001142","FBtr0078115",1274
"9","chr2L",139724,139724,1,"*","SRR21146074_vs_SRR21146077_peak_9",4.39176,"Promoter (<=1kb)",1,138384,139588,1205,2,"FBgn0051976","FBtr0346127",-136
"10","chr2L",140243,140243,1,"*","SRR21146074_vs_SRR21146077_peak_10",5.15927,"Promoter (<=1kb)",1,138384,139588,1205,2,"FBgn0051976","FBtr0346127",-655
"11","chr2L",140728,140728,1,"*","SRR21146074_vs_SRR21146077_peak_11",4.82821,"Promoter (<=1kb)",1,138384,140992,2609,2,"FBgn0051975","FBtr0302196",264
"12","chr2L",152653,152653,1,"*","SRR21146074_vs_SRR21146077_peak_12",2.88143,"Promoter (<=1kb)",1,144231,153300,9070,2,"FBgn0259818","FBtr0301929",647
"13","chr2L",152794,152794,1,"*","SRR21146074_vs_SRR21146077_peak_13",4.15748,"Promoter (<=1kb)",1,144231,153300,9070,2,"FBgn0259818","FBtr0301929",506
"14","chr2L",153021,153021,1,"*","SRR21146074_vs_SRR21146077_peak_14",1.4719,"Promoter (<=1kb)",1,144231,153300,9070,2,"FBgn0259818","FBtr0301929",279
"15","chr2L",153265,153265,1,"*","SRR21146074_vs_SRR21146077_peak_15",3.41608,"Promoter (<=1kb)",1,144231,153300,9070,2,"FBgn0259818","FBtr0301929",35
"16","chr2L",179420,179420,1,"*","SRR21146074_vs_SRR21146077_peak_16",4.77344,"Intron (FBtr0078122/FBgn0016977, intron 2 of 11)",1,182820,201588,18769,1,"FBgn0016977","FBtr0332337",-3400
"17","chr2L",214768,214768,1,"*","SRR21146074_vs_SRR21146077_peak_17",2.12496,"Exon (FBtr0078145/FBgn0266557, exon 7 of 7)",1,219651,220050,400,1,"FBgn0265151","FBtr0336984",-4883
"18","chr2L",245352,245352,1,"*","SRR21146074_vs_SRR21146077_peak_18",1.99222,"Promoter (2-3kb)",1,243035,243141,107,2,"FBgn0262252","FBtr0304343",-2211
"19","chr2L",245490,245490,1,"*","SRR21146074_vs_SRR21146077_peak_19",2.6805,"Promoter (2-3kb)",1,243035,243141,107,2,"FBgn0262252","FBtr0304343",-2349
"20","chr2L",285945,285945,1,"*","SRR21146074_vs_SRR21146077_peak_20",1.33403,"Promoter (<=1kb)",1,283385,285726,2342,2,"FBgn0031245","FBtr0078136",-219
"21","chr2L",286608,286608,1,"*","SRR21146074_vs_SRR21146077_peak_21",7.53771,"Promoter (<=1kb)",1,283662,286531,2870,2,"FBgn0031245","FBtr0078135",-77
"22","chr2L",297534,297534,1,"*","SRR21146074_vs_SRR21146077_peak_22",13.03508,"Promoter (<=1kb)",1,297880,303934,6055,1,"FBgn0020622","FBtr0331205",-346
"23","chr2L",298543,298543,1,"*","SRR21146074_vs_SRR21146077_peak_23",1.4719,"Promoter (<=1kb)",1,297880,305233,7354,1,"FBgn0020622","FBtr0331208",663
