name,chrom,chromStart,chromEnd,score,strand,signalValue,pValue,qValue,peak,annotation,geneStart,geneEnd,geneLength,geneId,transcriptId,distanceToTSS,gene,gene_start,gene_end
SRR21146075_vs_SRR21146078_peak_1,2L,68011,68208,23,.,4.53694,5.94877,2.37616,54,Promoter (1-2kb),67043,71390,4348,FBgn0067779,FBtr0306537,1023,dbr,66482.0,71390.0
SRR21146075_vs_SRR21146078_peak_2,2L,73193,73200,27,.,4.8625,6.58738,2.79608,2,Promoter (<=1kb),73485,76211,2727,FBgn0031213,FBtr0302164,-289,galectin,71757.0,76211.0
SRR21146075_vs_SRR21146078_peak_3,2L,83978,84298,17,.,3.92173,5.08049,1.78058,180,"Exon (FBtr0290323/FBgn0002931, exon 2 of 2)",82421,87387,4967,FBgn0002931,FBtr0290323,3228,net,82421.0,87387.0
SRR21146075_vs_SRR21146078_peak_4,2L,128727,128735,23,.,4.98549,5.94877,2.37616,1,Promoter (<=1kb),122624,129245,6622,FBgn0025683,FBtr0078154,516,ND-15,114726.0,156030.0
SRR21146075_vs_SRR21146078_peak_5,2L,133363,133380,24,.,4.79404,6.02969,2.43966,0,Promoter (1-2kb),132077,134472,2396,FBgn0001142,FBtr0078115,1287,Gs1,132077.0,134472.0
SRR21146075_vs_SRR21146078_peak_6,2L,139048,139158,46,.,6.23261,9.18903,4.60049,65,Promoter (<=1kb),138384,139588,1205,FBgn0051976,FBtr0346127,474,ND-15,114726.0,156030.0
SRR21146075_vs_SRR21146078_peak_7,2L,143425,143498,17,.,4.08839,4.98931,1.72568,0,Promoter (<=1kb),143323,144227,905,FBgn0031224,FBtr0078116,103,CG11454,143323.0,144227.0
SRR21146075_vs_SRR21146078_peak_8,2L,207277,207320,14,.,3.92842,4.53718,1.47338,2,Promoter (<=1kb),204743,207297,2555,FBgn0031232,FBtr0078146,17,Tbc1d15-17,207179.0,210725.0
SRR21146075_vs_SRR21146078_peak_9,2L,207411,207462,13,.,3.88189,4.40297,1.36796,0,Promoter (<=1kb),207406,210725,3320,FBgn0031233,FBtr0332339,6,Tbc1d15-17,207179.0,210725.0
SRR21146075_vs_SRR21146078_peak_10,2L,230992,231016,37,.,5.5646,7.90808,3.76606,19,Promoter (1-2kb),232166,232253,88,FBgn0263465,FBtr0309764,1241,kis,210735.0,250823.0
SRR21146075_vs_SRR21146078_peak_11,2L,245253,245364,24,.,4.86285,6.01613,2.42851,105,Promoter (2-3kb),243035,243141,107,FBgn0262252,FBtr0304343,-2218,kis,210735.0,250823.0
SRR21146075_vs_SRR21146078_peak_12,2L,245615,245674,16,.,4.16618,4.69893,1.60316,0,Promoter (2-3kb),243035,243141,107,FBgn0262252,FBtr0304343,-2475,kis,210735.0,250823.0
SRR21146075_vs_SRR21146078_peak_13,2L,298417,298621,17,.,3.92173,5.08049,1.78058,99,Promoter (<=1kb),297880,305233,7354,FBgn0020622,FBtr0331208,637,Pi3K21B,297880.0,305233.0
SRR21146075_vs_SRR21146078_peak_14,2L,300250,300369,63,.,8.2262,11.70372,6.34484,47,Promoter (1-2kb),301706,305233,3528,FBgn0020622,FBtr0331206,-1408,Pi3K21B,297880.0,305233.0
SRR21146075_vs_SRR21146078_peak_15,2L,307133,307263,30,.,5.43404,6.95302,3.03554,75,Promoter (1-2kb),305935,355566,49632,FBgn0004611,FBtr0078049,1274,Plc21C,305935.0,355566.0
SRR21146075_vs_SRR21146078_peak_16,2L,307365,307387,27,.,4.89422,6.50909,2.79608,19,Promoter (1-2kb),305935,355566,49632,FBgn0004611,FBtr0078049,1450,Plc21C,305935.0,355566.0
SRR21146075_vs_SRR21146078_peak_17,2L,319047,319105,16,.,3.38984,4.79185,1.67605,56,Promoter (<=1kb),318362,319259,898,FBgn0031248,FBtr0078099,155,Plc21C,305935.0,355566.0
SRR21146075_vs_SRR21146078_peak_18,2L,319192,319256,16,.,3.38984,4.79185,1.67605,5,Promoter (<=1kb),318362,319259,898,FBgn0031248,FBtr0078099,61,Plc21C,305935.0,355566.0
SRR21146075_vs_SRR21146078_peak_19,2L,425965,426419,51,.,7.50262,10.0334,5.14688,196,Distal Intergenic,422873,425321,2449,FBgn0031255,FBtr0078058,3289,intergenic,,
SRR21146075_vs_SRR21146078_peak_20,2L,430021,430039,39,.,5.65772,8.25925,3.92342,14,Promoter (1-2kb),431227,448701,17475,FBgn0004583,FBtr0078059,-1191,intergenic,,
SRR21146075_vs_SRR21146078_peak_21,2L,466510,466689,17,.,3.92173,5.08049,1.78058,35,"Intron (FBtr0310035/FBgn0031258, intron 1 of 1)",458876,471555,12680,FBgn0031258,FBtr0310035,5009,CG4297,458876.0,472200.0
SRR21146075_vs_SRR21146078_peak_22,2L,466771,466837,13,.,3.62269,4.33257,1.31245,9,"Intron (FBtr0310035/FBgn0031258, intron 1 of 1)",458876,471555,12680,FBgn0031258,FBtr0310035,4774,CG4297,458876.0,472200.0
SRR21146075_vs_SRR21146078_peak_23,2L,469096,469505,51,.,6.79183,9.95384,5.1206,143,Promoter (2-3kb),458876,471555,12680,FBgn0031258,FBtr0310035,2315,CG4297,458876.0,472200.0
SRR21146075_vs_SRR21146078_peak_24,2L,470265,470419,24,.,4.87966,6.04036,2.44764,2,Promoter (1-2kb),458876,471555,12680,FBgn0031258,FBtr0310035,1287,CG4297,458876.0,472200.0
SRR21146075_vs_SRR21146078_peak_25,2L,470796,470858,29,.,5.30977,6.85743,2.99554,57,Promoter (<=1kb),458876,471555,12680,FBgn0031258,FBtr0310035,701,CG4297,458876.0,472200.0
SRR21146075_vs_SRR21146078_peak_26,2L,475794,475801,16,.,3.94823,4.77806,1.66649,3,Promoter (<=1kb),476220,540532,64313,FBgn0003963,FBtr0333012,-422,MED15,473013.0,476170.0
