"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr2L",12470,12938,469,"*","Exon (FBtr0078170/FBgn0002121, exon 6 of 9)",1,7529,9484,1956,1,"FBgn0031208","FBtr0475186",4941
"2","chr2L",13342,14543,1202,"*","Exon (FBtr0078170/FBgn0002121, exon 4 of 9)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",4027
"3","chr2L",15085,15655,571,"*","Promoter (2-3kb)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",2915
"4","chr2L",18038,18544,507,"*","Promoter (<=1kb)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",26
"5","chr2L",20843,21349,507,"*","Promoter (<=1kb)",1,9839,21376,11538,2,"FBgn0002121","FBtr0078166",27
"6","chr2L",24862,25076,215,"*","Promoter (<=1kb)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",79
"7","chr2L",28340,28554,215,"*","Exon (FBtr0113416/FBgn0051973, exon 10 of 13)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-3185
"8","chr2L",30836,31392,557,"*","Exon (FBtr0078164/FBgn0051973, exon 8 of 14)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-5681
"9","chr2L",32612,33059,448,"*","Exon (FBtr0078164/FBgn0051973, exon 8 of 14)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-7457
"10","chr2L",33767,33981,215,"*","Exon (FBtr0078163/FBgn0051973, exon 7 of 13)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-8612
"11","chr2L",39336,39550,215,"*","Exon (FBtr0078163/FBgn0051973, exon 3 of 13)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-14181
"12","chr2L",40342,41454,1113,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-13363
"13","chr2L",43106,43320,215,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-11497
"14","chr2L",47335,48765,1431,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-6052
"15","chr2L",62942,63338,397,"*","Promoter (2-3kb)",1,25402,65404,40003,2,"FBgn0051973","FBtr0309226",2066
"16","chr2L",66432,68321,1890,"*","Promoter (<=1kb)",1,66482,71390,4909,1,"FBgn0067779","FBtr0306539",0
"17","chr2L",69891,70183,293,"*","Promoter (1-2kb)",1,71757,76211,4455,1,"FBgn0031213","FBtr0306540",-1574
"18","chr2L",71502,71716,215,"*","Promoter (<=1kb)",1,71757,76211,4455,1,"FBgn0031213","FBtr0306540",-41
"19","chr2L",72000,73411,1412,"*","Promoter (<=1kb)",1,72387,76211,3825,1,"FBgn0031213","FBtr0078101",0
"20","chr2L",78479,79727,1249,"*","Promoter (2-3kb)",1,76348,77783,1436,1,"FBgn0031214","FBtr0306541",2131
"21","chr2L",81958,82255,298,"*","Distal Intergenic",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",5132
"22","chr2L",83135,84358,1224,"*","3' UTR",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",3029
"23","chr2L",84644,84875,232,"*","Promoter (2-3kb)",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",2512
"24","chr2L",85697,86066,370,"*","Promoter (1-2kb)",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",1321
"25","chr2L",90179,90984,806,"*","Promoter (2-3kb)",1,82984,87387,4404,2,"FBgn0002931","FBtr0330637",-2792
"26","chr2L",92385,92675,291,"*","Promoter (2-3kb)",1,94739,102086,7348,1,"FBgn0031216","FBtr0078103",-2064
"27","chr2L",97602,97866,265,"*","Promoter (2-3kb)",1,94739,102086,7348,1,"FBgn0031216","FBtr0078103",2863
"28","chr2L",100084,100298,215,"*","Promoter (2-3kb)",1,102380,104142,1763,1,"FBgn0031217","FBtr0078104",-2082
"29","chr2L",103473,103730,258,"*","Promoter (1-2kb)",1,102380,104142,1763,1,"FBgn0031217","FBtr0330636",1093
"30","chr2L",105874,106612,739,"*","Promoter (<=1kb)",1,103962,106732,2771,2,"FBgn0026787","FBtr0301452",120
"31","chr2L",107454,107668,215,"*","Promoter (<=1kb)",1,107761,111337,3577,1,"FBgn0005278","FBtr0308091",-93
"32","chr2L",109740,110076,337,"*","Promoter (<=1kb)",1,109594,114210,4617,1,"FBgn0005278","FBtr0089436",146
"33","chr2L",110573,110787,215,"*","Promoter (<=1kb)",1,109594,114210,4617,1,"FBgn0005278","FBtr0089436",979
"34","chr2L",117496,118460,965,"*","Promoter (1-2kb)",1,115365,116488,1124,2,"FBgn0031219","FBtr0078160",-1008
"35","chr2L",120642,120889,248,"*","Promoter (<=1kb)",1,117079,120742,3664,2,"FBgn0031220","FBtr0078158",0
"36","chr2L",124696,125032,337,"*","Promoter (1-2kb)",1,122837,124031,1195,1,"FBgn0266304","FBtr0344032",1859
"37","chr2L",128179,128721,543,"*","Promoter (<=1kb)",1,122624,129245,6622,2,"FBgn0025683","FBtr0078154",524
