"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr2L",91,5186,5096,"*","Promoter (2-3kb)",1,7529,9484,1956,1,"FBgn0031208","FBtr0475186",-2343
"2","chr2L",7726,8787,1062,"*","Promoter (<=1kb)",1,7529,9484,1956,1,"FBgn0031208","FBtr0475186",197
"3","chr2L",12451,12949,499,"*","Exon (FBtr0078170/FBgn0002121, exon 6 of 9)",1,7529,9484,1956,1,"FBgn0031208","FBtr0475186",4922
"4","chr2L",13331,14012,682,"*","Exon (FBtr0078170/FBgn0002121, exon 4 of 9)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",4558
"5","chr2L",15085,15655,571,"*","Promoter (2-3kb)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",2915
"6","chr2L",17982,18570,589,"*","Promoter (<=1kb)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",0
"7","chr2L",20771,21375,605,"*","Promoter (<=1kb)",1,9839,21376,11538,2,"FBgn0002121","FBtr0078166",1
"8","chr2L",24369,25079,711,"*","Promoter (<=1kb)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",76
"9","chr2L",28358,28942,585,"*","Exon (FBtr0078163/FBgn0051973, exon 9 of 13)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-3203
"10","chr2L",30834,31388,555,"*","Exon (FBtr0078164/FBgn0051973, exon 8 of 14)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-5679
"11","chr2L",32029,33992,1964,"*","Exon (FBtr0078163/FBgn0051973, exon 7 of 13)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-6874
"12","chr2L",39336,39561,226,"*","Exon (FBtr0078163/FBgn0051973, exon 3 of 13)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-14181
"13","chr2L",40191,41454,1264,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-13363
"14","chr2L",47358,48784,1427,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-6033
"15","chr2L",49172,49999,828,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-4818
"16","chr2L",55784,56318,535,"*","Promoter (<=1kb)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",967
"17","chr2L",57247,57472,226,"*","Promoter (1-2kb)",1,25402,59268,33867,2,"FBgn0051973","FBtr0078163",1796
"18","chr2L",66392,67808,1417,"*","Promoter (<=1kb)",1,66482,71390,4909,1,"FBgn0067779","FBtr0306539",0
"19","chr2L",69969,70194,226,"*","Promoter (1-2kb)",1,71757,76211,4455,1,"FBgn0031213","FBtr0306540",-1563
"20","chr2L",72083,73464,1382,"*","Promoter (<=1kb)",1,72387,76211,3825,1,"FBgn0031213","FBtr0078101",0
"21","chr2L",78837,79613,777,"*","Promoter (2-3kb)",1,76348,77783,1436,1,"FBgn0031214","FBtr0306541",2489
"22","chr2L",83215,84063,849,"*","3' UTR",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",3324
"23","chr2L",84633,84886,254,"*","Promoter (2-3kb)",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",2501
"24","chr2L",85765,86025,261,"*","Promoter (1-2kb)",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",1362
"25","chr2L",90759,90984,226,"*","Distal Intergenic",1,82984,87387,4404,2,"FBgn0002931","FBtr0330637",-3372
"26","chr2L",95280,95653,374,"*","Promoter (<=1kb)",1,94739,102086,7348,1,"FBgn0031216","FBtr0078103",541
"27","chr2L",97591,97877,287,"*","Promoter (2-3kb)",1,94739,102086,7348,1,"FBgn0031216","FBtr0078103",2852
"28","chr2L",98539,99048,510,"*","Exon (FBtr0078103/FBgn0031216, exon 6 of 12)",1,102380,104142,1763,1,"FBgn0031217","FBtr0078104",-3332
"29","chr2L",100084,100871,788,"*","Promoter (1-2kb)",1,102380,104142,1763,1,"FBgn0031217","FBtr0078104",-1509
"30","chr2L",101278,101505,228,"*","Promoter (<=1kb)",1,102380,104142,1763,1,"FBgn0031217","FBtr0078104",-875
"31","chr2L",103067,103918,852,"*","Promoter (<=1kb)",1,102380,104142,1763,1,"FBgn0031217","FBtr0330636",687
"32","chr2L",105874,106623,750,"*","Promoter (<=1kb)",1,103962,106732,2771,2,"FBgn0026787","FBtr0301452",109
"33","chr2L",107454,107679,226,"*","Promoter (<=1kb)",1,107761,111337,3577,1,"FBgn0005278","FBtr0308091",-82
"34","chr2L",109676,110787,1112,"*","Promoter (<=1kb)",1,109594,114210,4617,1,"FBgn0005278","FBtr0089436",82
"35","chr2L",112692,113151,460,"*","Promoter (1-2kb)",1,114726,156030,41305,1,"FBgn0031228","FBtr0306542",-1575
"36","chr2L",114592,114840,249,"*","Promoter (<=1kb)",1,114726,156030,41305,1,"FBgn0031228","FBtr0306542",0
"37","chr2L",117852,118460,609,"*","Promoter (1-2kb)",1,115365,116488,1124,2,"FBgn0031219","FBtr0078160",-1364
"38","chr2L",120292,120900,609,"*","Promoter (<=1kb)",1,116970,120631,3662,2,"FBgn0031220","FBtr0100307",0
"39","chr2L",122278,122522,245,"*","Promoter (<=1kb)",1,122837,124031,1195,1,"FBgn0266304","FBtr0344032",-315
"40","chr2L",123367,123611,245,"*","Promoter (<=1kb)",1,122837,124031,1195,1,"FBgn0266304","FBtr0344032",530
"41","chr2L",125469,125758,290,"*","Promoter (2-3kb)",1,122837,124031,1195,1,"FBgn0266304","FBtr0344032",2632
"42","chr2L",128175,128965,791,"*","Promoter (<=1kb)",1,122624,129245,6622,2,"FBgn0025683","FBtr0078154",280
"43","chr2L",129243,129490,248,"*","Promoter (<=1kb)",1,122624,129245,6622,2,"FBgn0025683","FBtr0078154",0
"44","chr2L",135821,137358,1538,"*","Promoter (<=1kb)",1,136144,136701,558,1,"FBgn0265075","FBtr0336837",0
"45","chr2L",141300,142806,1507,"*","Promoter (<=1kb)",1,141077,142572,1496,2,"FBgn0051974","FBtr0330644",0
"46","chr2L",144348,144817,470,"*","Promoter (1-2kb)",1,143323,144227,905,1,"FBgn0031224","FBtr0078116",1025
"47","chr2L",148557,148883,327,"*","Exon (FBtr0301929/FBgn0259818, exon 2 of 9)",1,144231,153300,9070,2,"FBgn0259818","FBtr0301929",4417
"48","chr2L",153218,153849,632,"*","Promoter (<=1kb)",1,144231,153300,9070,2,"FBgn0259818","FBtr0301929",0
"49","chr2L",154744,155672,929,"*","Promoter (<=1kb)",1,153539,155305,1767,2,"FBgn0031227","FBtr0078147",0
"50","chr2L",156748,157062,315,"*","Promoter (<=1kb)",1,156149,157666,1518,1,"FBgn0031229","FBtr0078119",599
"51","chr2L",159421,160027,607,"*","Promoter (<=1kb)",1,159032,203397,44366,1,"FBgn0016977","FBtr0078121",389
"52","chr2L",165216,166344,1129,"*","Intron (FBtr0078122/FBgn0016977, intron 2 of 11)",1,159032,203397,44366,1,"FBgn0016977","FBtr0078121",6184
"53","chr2L",172855,173990,1136,"*","Intron (FBtr0078122/FBgn0016977, intron 2 of 11)",1,182820,201588,18769,1,"FBgn0016977","FBtr0332337",-8830
"54","chr2L",178326,179449,1124,"*","Intron (FBtr0078122/FBgn0016977, intron 2 of 11)",1,182820,201588,18769,1,"FBgn0016977","FBtr0332337",-3371
"55","chr2L",179854,180702,849,"*","Promoter (2-3kb)",1,182820,201588,18769,1,"FBgn0016977","FBtr0332337",-2118
"56","chr2L",184859,185694,836,"*","Promoter (2-3kb)",1,182820,203250,20431,1,"FBgn0016977","FBtr0330653",2039
"57","chr2L",186258,186848,591,"*","Exon (FBtr0078122/FBgn0016977, exon 5 of 12)",1,182820,203250,20431,1,"FBgn0016977","FBtr0330653",3438
"58","chr2L",187528,188891,1364,"*","Exon (FBtr0078122/FBgn0016977, exon 6 of 12)",1,182820,203250,20431,1,"FBgn0016977","FBtr0330653",4708
"59","chr2L",190343,190920,578,"*","Exon (FBtr0078122/FBgn0016977, exon 6 of 12)",1,182820,203250,20431,1,"FBgn0016977","FBtr0330653",7523
"60","chr2L",194406,196153,1748,"*","Exon (FBtr0078122/FBgn0016977, exon 6 of 12)",1,203779,204782,1004,1,"FBgn0031231","FBtr0078124",-7626
"61","chr2L",196488,196713,226,"*","Exon (FBtr0078122/FBgn0016977, exon 6 of 12)",1,203779,204782,1004,1,"FBgn0031231","FBtr0078124",-7066
"62","chr2L",197048,197564,517,"*","Exon (FBtr0078122/FBgn0016977, exon 6 of 12)",1,203779,204782,1004,1,"FBgn0031231","FBtr0078124",-6215
"63","chr2L",197881,199156,1276,"*","Exon (FBtr0078122/FBgn0016977, exon 6 of 12)",1,203779,204782,1004,1,"FBgn0031231","FBtr0078124",-4623
"64","chr2L",200499,201139,641,"*","Promoter (2-3kb)",1,203779,204782,1004,1,"FBgn0031231","FBtr0078124",-2640
"65","chr2L",204015,204587,573,"*","Promoter (<=1kb)",1,203779,204782,1004,1,"FBgn0031231","FBtr0078124",236
"66","chr2L",205184,205709,526,"*","Promoter (1-2kb)",1,204743,206797,2055,2,"FBgn0031232","FBtr0308246",1088
"67","chr2L",207905,208400,496,"*","Promoter (<=1kb)",1,207406,210725,3320,1,"FBgn0031233","FBtr0332339",499
"68","chr2L",209108,209752,645,"*","Promoter (1-2kb)",1,207406,210725,3320,1,"FBgn0031233","FBtr0332339",1702
"69","chr2L",212820,213508,689,"*","Exon (FBtr0078145/FBgn0266557, exon 7 of 7)",1,207406,210725,3320,1,"FBgn0031233","FBtr0332339",5414
"70","chr2L",213822,215882,2061,"*","Exon (FBtr0078145/FBgn0266557, exon 5 of 7)",1,219651,220050,400,1,"FBgn0265151","FBtr0336984",-3769
"71","chr2L",217244,217469,226,"*","Promoter (2-3kb)",1,219651,220050,400,1,"FBgn0265151","FBtr0336984",-2182
"72","chr2L",218280,218563,284,"*","Promoter (1-2kb)",1,219651,220050,400,1,"FBgn0265151","FBtr0336984",-1088
"73","chr2L",220454,220935,482,"*","Promoter (<=1kb)",1,219651,220050,400,1,"FBgn0265151","FBtr0336984",803
"74","chr2L",223117,223436,320,"*","Promoter (<=1kb)",1,223519,224708,1190,1,"FBgn0265153","FBtr0336985",-83
"75","chr2L",226531,227077,547,"*","Promoter (<=1kb)",1,228037,228588,552,1,"FBgn0265152","FBtr0336986",-960
"76","chr2L",228962,229187,226,"*","Promoter (<=1kb)",1,228037,228588,552,1,"FBgn0265152","FBtr0336986",925
"77","chr2L",230121,231172,1052,"*","Promoter (1-2kb)",1,232166,232253,88,2,"FBgn0263465","FBtr0309764",1081
"78","chr2L",232004,233175,1172,"*","Promoter (<=1kb)",1,232487,234208,1722,1,"FBgn0031235","FBtr0078126",0
"79","chr2L",236480,236727,248,"*","Exon (FBtr0078144/FBgn0266557, exon 3 of 18)",1,232487,234208,1722,1,"FBgn0031235","FBtr0078126",3993
"80","chr2L",239671,240497,827,"*","Promoter (2-3kb)",1,243035,243141,107,2,"FBgn0262252","FBtr0304343",2644
"81","chr2L",241447,242578,1132,"*","Promoter (<=1kb)",1,243035,243141,107,2,"FBgn0262252","FBtr0304343",563
"82","chr2L",244826,246594,1769,"*","Promoter (1-2kb)",1,243035,243141,107,2,"FBgn0262252","FBtr0304343",-1685
"83","chr2L",254327,254786,460,"*","Promoter (<=1kb)",1,252589,254750,2162,2,"FBgn0031238","FBtr0336989",0
"84","chr2L",266201,266611,411,"*","Promoter (<=1kb)",1,259949,267505,7557,2,"FBgn0031239","FBtr0308252",894
"85","chr2L",269769,270908,1140,"*","Promoter (<=1kb)",1,269088,271626,2539,1,"FBgn0031240","FBtr0078127",681
"86","chr2L",271321,271583,263,"*","Promoter (<=1kb)",1,252589,271744,19156,2,"FBgn0031238","FBtr0078140",161
"87","chr2L",271991,272216,226,"*","Promoter (<=1kb)",1,252589,271744,19156,2,"FBgn0031238","FBtr0078141",-247
"88","chr2L",273474,273704,231,"*","Promoter (<=1kb)",1,271912,273715,1804,2,"FBgn0086912","FBtr0078139",11
"89","chr2L",275931,276295,365,"*","Promoter (<=1kb)",1,274740,277212,2473,2,"FBgn0086855","FBtr0300804",917
"90","chr2L",276807,277069,263,"*","Promoter (<=1kb)",1,274740,277212,2473,2,"FBgn0086855","FBtr0300804",143
"91","chr2L",277959,278220,262,"*","Promoter (<=1kb)",1,274740,278234,3495,2,"FBgn0086855","FBtr0330650",14
"92","chr2L",280531,280756,226,"*","Promoter (2-3kb)",1,274740,278234,3495,2,"FBgn0086855","FBtr0330650",-2297
"93","chr2L",282820,283368,549,"*","Promoter (<=1kb)",1,281670,283195,1526,2,"FBgn0031244","FBtr0343780",0
"94","chr2L",285248,287184,1937,"*","Promoter (<=1kb)",1,283385,285726,2342,2,"FBgn0031245","FBtr0078136",0
"95","chr2L",287774,287999,226,"*","Promoter (<=1kb)",1,287252,288932,1681,2,"FBgn0025686","FBtr0078134",933
